VendorName,VendorNumber,Brand,PurchasePrice,PurchaseQuantity,PurchaseDollars,Price,Volume,PricePurchasePrice,InvoiceQuantity,InvoiceDollars,TotalFreight,TotalSalesDollar,TotalSalesPrice,TotalSalesQuantity,TotalExciseTax,Description,TotalProfit
MAJESTIC FINE WINES        ,10000,6570,6.77,215668.0,1460072.3599999887,10.99,750.0,6.77,446119.0,3506668.63,17587.59,2326007.779999907,189608.95999997697,214238.0,24083.770000001787,Kendall Jackson Chard Vt RSV,865935.4199999184
ULTRA BEVERAGE COMPANY LLP ,9165,3650,33.81,42951.0,1452173.3099999838,48.99,750.0,33.81,1077527.0,13210613.930000002,68054.70000000003,2009508.6099997887,662320.0399999034,41639.0,32783.0900000035,Patron Silver Tequila,557335.2999998049
DIAGEO NORTH AMERICA INC   ,3960,2753,44.77,31596.0,1414552.9200000092,59.99,1750.0,44.77,5459788.0,50959796.849999994,257032.07000000007,1739044.279999906,507291.4299999482,28372.0,52133.71999999593,Johnnie Walker Black Label,324491.3599998967
PERNOD RICARD USA          ,17035,5364,23.07,60645.0,1399080.1500000013,29.99,1750.0,23.07,1647558.0,24124091.56,123780.21999999997,1844950.2899997348,504735.05999989586,59771.0,109817.0699999855,Kahlua,445870.13999973354
DIAGEO NORTH AMERICA INC   ,3960,8082,21.73,64249.0,1396130.770000004,33.99,1750.0,21.73,5459788.0,50959796.849999994,257032.07000000007,2068091.159999784,494487.6499999042,65184.0,119767.48999998723,Baileys Irish Cream,671960.3899997801
DIAGEO NORTH AMERICA INC   ,3960,8680,28.88,47546.0,1373128.4800000344,39.99,1750.0,28.88,5459788.0,50959796.849999994,257032.07000000007,1884307.3399997673,596574.929999897,47966.0,88129.79999998568,Crown Royal,511178.8599997328
DIAGEO NORTH AMERICA INC   ,3960,4260,16.66,79078.0,1317439.4799999988,21.99,1750.0,16.66,5459788.0,50959796.849999994,257032.07000000007,1635666.5799999442,121065.2500000112,79042.0,145234.9500000005,Capt Morgan Original Barrel,318227.0999999454
BACARDI USA INC            ,480,3348,22.38,57349.0,1283470.6200000057,29.99,1750.0,22.38,1427075.0,17624378.719999995,89286.26999999999,1766391.119999798,460087.9499999081,56888.0,104524.53999998761,Bombay Sapphire Gin,482920.4999997923
BACARDI USA INC            ,480,3857,38.27,33388.0,1277758.760000023,49.99,1750.0,38.27,1427075.0,17624378.719999995,89286.26999999999,1699669.5499998508,589137.7899999224,32945.0,60533.429999990025,Grey Goose Vodka,421910.78999982774
"STOLI GROUP,(USA) LLC      ",8664,8112,19.52,61936.0,1208990.7200000167,24.99,1750.0,19.52,314035.0,3666478.7199999983,18544.489999999998,1528730.2699997823,392353.53999991255,61323.0,112669.44999998584,Stolichnaya,319739.5499997656
BACARDI USA INC            ,480,126,20.14,59878.0,1205942.9200000067,32.99,1000.0,20.14,1427075.0,17624378.719999995,89286.26999999999,1736610.8699998797,294049.48999996006,58013.0,60913.65000000229,Grey Goose Vodka,530667.9499998731
JIM BEAM BRANDS COMPANY    ,12546,3512,11.76,101480.0,1193404.80000003,16.99,1750.0,11.76,2737165.0,24203151.05000001,123880.96999999999,1624366.6199997105,306439.93999991653,98938.0,181782.13000000623,Pinnacle Vodka,430961.8199996804
JIM BEAM BRANDS COMPANY    ,12546,2120,12.21,97473.0,1190145.3300000117,16.99,1750.0,12.21,2737165.0,24203151.05000001,123880.96999999999,1554498.39999971,307670.1999999177,94960.0,174471.93000000203,Canadian Club,364353.0699996983
PROXIMO SPIRITS INC.       ,7245,8159,19.69,59088.0,1163442.7199999734,25.99,1750.0,19.69,682042.0,7588029.899999999,38994.78000000001,1549701.8999997717,431497.80999990343,58610.0,107685.02999998446,Jose Cuervo Especial,386259.1799997983
BACARDI USA INC            ,480,4243,14.49,76389.0,1106876.6099999847,19.99,1750.0,14.49,1427075.0,17624378.719999995,89286.26999999999,1657809.5899997752,342678.8499999174,77041.0,141551.60999999248,Bacardi Superior Rum,550932.9799997904
MOET HENNESSY USA INC      ,8112,6654,27.2,40380.0,1098336.0000000028,39.99,750.0,27.2,427867.0,9472995.2,48347.26,1584665.4099999077,349562.0599999733,38506.0,4316.35999999995,Veuve Clicquot Brut Yellow,486329.4099999049
DIAGEO NORTH AMERICA INC   ,3960,8512,14.72,72952.0,1073853.4400000074,19.99,750.0,14.72,5459788.0,50959796.849999994,257032.07000000007,1456174.7799997765,340626.12999991875,73122.0,57570.690000006565,Baileys Irish Cream,382321.3399997691
PROXIMO SPIRITS INC.       ,7245,3802,13.43,77066.0,1034996.3799999938,18.99,1750.0,13.43,682042.0,7588029.899999999,38994.78000000001,1408627.7799997577,331726.62999992317,74722.0,137288.5799999888,Three Olives Vodka,373631.3999997638
CAMPARI AMERICA            ,11567,3826,15.74,65382.0,1029112.6799999664,19.99,1750.0,15.74,501284.0,4141720.7100000004,20964.809999999998,1327401.119999779,352821.77999991283,64388.0,118298.36999998645,Skyy Vodka,298288.4399998125
MOET HENNESSY USA INC      ,8112,42188,34.01,29829.0,1014484.2900000048,52.99,750.0,34.01,427867.0,9472995.2,48347.26,1533634.519999969,132343.6700000056,29498.0,3314.2299999999736,Moet & Chandon Nectar Imp Rs,519150.22999996424
PERNOD RICARD USA          ,17035,3423,21.25,46163.0,980963.75,26.99,1750.0,21.25,1647558.0,24124091.56,123780.21999999997,1177834.3799998525,367508.0099999269,44762.0,82244.15999998542,Beefeater,196870.6299998525
SAZERAC CO INC             ,8004,5138,11.1,87954.0,976289.3999999905,13.99,750.0,11.1,1417727.0,9916770.259999998,50293.62000000002,1174428.3599998045,257643.30999993792,84289.0,66360.95000000767,Fireball Cinnamon Whisky,198138.95999981405
PERNOD RICARD USA          ,17035,5734,15.82,61639.0,975128.9800000095,21.99,1750.0,15.82,1647558.0,24124091.56,123780.21999999997,1293182.9799998398,315290.1799999338,60102.0,110429.44999998703,Malibu Rum,318053.99999983027
BACARDI USA INC            ,480,4227,14.17,68294.0,967725.9800000013,17.99,1750.0,14.17,1427075.0,17624378.719999995,89286.26999999999,1323223.529999905,177578.64999999318,75147.0,138074.08999999802,Bacardi Superior Rum Trav,355497.5499999038
MARTIGNETTI COMPANIES,4425,3505,13.76,69299.0,953554.2399999768,18.99,750.0,13.76,2640411.0,27861690.019999996,144929.24,1355204.969999795,331321.58999991673,70603.0,55584.91000000613,Tito's Handmade Vodka,401650.72999981826
BROWN-FORMAN CORP          ,1128,1232,15.93,52932.0,843206.7599999951,22.99,750.0,15.93,1006122.0,13529433.080000006,68601.68000000001,1255188.9399997946,394500.85999991104,53206.0,41888.060000005324,Jack Daniels No 7 Black,411982.17999979947
JIM BEAM BRANDS COMPANY    ,12546,1385,20.45,41048.0,839431.6000000037,26.99,750.0,20.45,2737165.0,24203151.05000001,123880.96999999999,1034144.8499998584,396827.6499999206,37615.0,29615.600000003382,Makers Mark,194713.2499998547
SAZERAC CO INC             ,8004,5103,17.14,44198.0,757553.7200000103,23.99,1750.0,17.14,1417727.0,9916770.259999998,50293.62000000002,1093841.6699998477,364814.6399999255,43533.0,79984.57999998568,Fireball Cinnamon Whisky,336287.9499998373
PERNOD RICARD USA          ,17035,8000,53.96,13759.0,742435.6400000077,67.99,1750.0,53.96,1647558.0,24124091.56,123780.21999999997,910688.899999942,453044.27999996115,13210.0,24275.30999999968,The Glenlivet 12 Yr Single,168253.25999993435
DIAGEO NORTH AMERICA INC   ,3960,2432,17.59,41893.0,736897.8699999982,22.99,750.0,17.59,5459788.0,50959796.849999994,257032.07000000007,967005.9399998506,361149.7899999199,41506.0,32678.120000003866,Crown Royal,230108.06999985233
PERNOD RICARD USA          ,17035,5365,14.84,48583.0,720971.7199999975,18.99,750.0,14.84,1647558.0,24124091.56,123780.21999999997,932815.8499998393,323296.7599999222,48615.0,38272.73000000486,Kahlua,211844.1299998418
DIAGEO NORTH AMERICA INC   ,3960,3876,13.95,50962.0,710919.9000000035,19.99,1750.0,13.95,5459788.0,50959796.849999994,257032.07000000007,1210481.3399998345,298050.9599999317,64266.0,118078.449999987,Smirnoff 80 Proof,499561.439999831
CONSTELLATION BRANDS INC   ,1392,3913,14.28,48481.0,692308.6800000105,17.99,1750.0,14.28,2325892.0,15573917.899999999,79528.99,875307.9499998783,271014.4299999417,47805.0,87832.82999998739,Svedka Vodka,182999.26999986777
SAZERAC CO INC             ,8004,3522,9.62,71899.0,691668.3799999709,12.99,1750.0,9.62,1417727.0,9916770.259999998,50293.62000000002,914148.489999854,232302.77999995163,70351.0,129253.369999989,Platinum 7X Distilled Vodka,222480.1099998831
CONSTELLATION BRANDS INC   ,1392,2114,9.41,73227.0,689066.0700000038,12.99,1750.0,9.41,2325892.0,15573917.899999999,79528.99,948838.5699998497,229797.42999995052,72043.0,132364.7099999849,Black Velvet Canadian Whisky,259772.49999984587
MARTIGNETTI COMPANIES,4425,11219,8.44,80030.0,675453.2000000181,12.99,750.0,8.44,2640411.0,27861690.019999996,144929.24,1095045.0399999167,199092.26999998596,78392.0,8799.819999999914,Josh Cellars Cab Svgn Sonoma,419591.83999989857
M S WALKER INC             ,9552,3893,7.93,81447.0,645874.709999989,9.99,1750.0,7.93,1372841.0,10935817.3,55551.819999999985,816412.7699998668,171058.7699999927,81723.0,150149.62999999925,Zhenka 80 Proof,170538.05999987782
BROWN-FORMAN CORP          ,1128,811,19.84,32554.0,645871.359999999,29.99,1000.0,19.84,1006122.0,13529433.080000006,68601.68000000001,937915.3599999225,253234.69999997146,32064.0,33667.1999999981,Jack Daniels No 7 Black,292043.9999999234
DIAGEO NORTH AMERICA INC   ,3960,2443,13.48,47654.0,642375.9200000195,16.99,1750.0,13.48,5459788.0,50959796.849999994,257032.07000000007,902489.5399998736,273169.2599999477,47446.0,87173.56999998497,Seagrams VO,260113.61999985413
SAZERAC NORTH AMERICA INC. ,660,2127,7.19,86887.0,624717.5300000095,10.49,1750.0,7.19,503931.0,3537977.55,17932.329999999994,899110.5499998573,183132.55999998274,86195.0,158367.2099999975,Canadian Ltd,274393.01999984786
CONSTELLATION BRANDS INC   ,1392,6682,6.03,101547.0,612328.4100000054,8.99,1500.0,6.03,2325892.0,15573917.899999999,79528.99,1016328.6099998966,161300.3499999999,101339.0,22776.050000001345,R M Woodbridge Chard Cal,404000.1999998912
DIAGEO NORTH AMERICA INC   ,3960,3798,19.83,30830.0,611358.9000000008,28.99,750.0,19.83,5459788.0,50959796.849999994,257032.07000000007,748067.529999948,157601.6800000024,29647.0,23348.150000002035,Ciroc Apple Vodka,136708.62999994715
DIAGEO NORTH AMERICA INC   ,3960,4262,11.19,54552.0,610436.8800000268,13.99,750.0,11.19,5459788.0,50959796.849999994,257032.07000000007,862422.8999998781,241540.9299999526,55710.0,43861.64000000501,Capt Morgan Spiced Rum,251986.01999985136
BROWN-FORMAN CORP          ,1128,2015,18.1,33715.0,610241.4999999967,22.99,750.0,18.1,1006122.0,13529433.080000006,68601.68000000001,771010.3099998921,303753.1499999447,32969.0,25959.910000003314,Jack Daniels Tennessee Honey,160768.8099998954
JIM BEAM BRANDS COMPANY    ,12546,1737,34.3,17537.0,601519.0999999947,51.99,1750.0,34.3,2737165.0,24203151.05000001,123880.96999999999,823521.1099999265,432234.77999995113,16089.0,29564.919999998816,Makers Mark,222002.0099999318
MARTIGNETTI COMPANIES,4425,38370,6.59,91140.0,600612.5999999961,9.95,750.0,6.59,2640411.0,27861690.019999996,144929.24,890334.4099999663,124833.9799999907,90267.0,10138.880000000456,Oyster Bay Svgn Bl Marlboro,289721.80999997014
PALM BAY INTERNATIONAL INC ,6785,6937,6.75,88752.0,599076.0,9.99,1500.0,6.75,375697.0,2693984.3300000005,13605.409999999998,945345.0199999199,164272.28999999003,87974.0,19771.2700000009,Cavit Pinot Grigio,346269.0199999199
MOET HENNESSY USA INC      ,8112,4689,33.33,17838.0,594540.5400000018,45.99,750.0,33.33,427867.0,9472995.2,48347.26,858571.9499999759,177136.36999999706,18005.0,14178.850000000471,Hennessy Privilege VSOP,264031.4099999741
MARTIGNETTI COMPANIES,4425,3040,16.54,35922.0,594149.8799999933,23.99,1000.0,16.54,2640411.0,27861690.019999996,144929.24,842326.9899999202,253126.1799999653,34901.0,36646.04999999875,Tito's Handmade Vodka,248177.109999927
PERNOD RICARD USA          ,17035,3625,12.59,45969.0,578749.7099999987,16.99,750.0,12.59,1647558.0,24124091.56,123780.21999999997,785296.9399998756,270297.41999994346,44406.0,34961.13000000416,Absolut 80 Proof,206547.22999987693
MOET HENNESSY USA INC      ,8112,7865,23.97,24088.0,577389.3600000012,34.99,750.0,23.97,427867.0,9472995.2,48347.26,834892.0999999518,249582.15999997742,23290.0,2606.529999999897,Moet & Chandon Imperial,257502.73999995063
JIM BEAM BRANDS COMPANY    ,12546,1346,22.55,25540.0,575926.9999999952,29.99,750.0,22.55,2737165.0,24203151.05000001,123880.96999999999,684455.559999909,350154.70999994385,22144.0,17438.070000002335,Knob Creek Bourbon,108528.55999991379
REMY COINTREAU USA INC     ,7239,5242,22.05,25361.0,559210.0499999939,29.99,750.0,22.05,142363.0,3354958.28,16978.669999999995,763368.2999999058,351898.2699999421,24770.0,19504.750000002397,Cointreau Liqueur,204158.24999991187
REMY COINTREAU USA INC     ,7239,4722,27.77,19910.0,552900.6999999961,34.99,750.0,27.77,142363.0,3354958.28,16978.669999999995,665392.6299999654,204514.66999998927,18637.0,14677.690000000975,Remy Martin VSOP Cognac,112491.92999996932
MARTIGNETTI COMPANIES,4425,6967,11.89,46257.0,549995.7299999988,19.99,750.0,11.89,2640411.0,27861690.019999996,144929.24,923055.2499999445,185950.7400000011,46511.0,5216.39999999995,Santa Margherita Pnt Grigio,373059.51999994565
"STOLI GROUP,(USA) LLC      ",8664,3630,19.83,27479.0,544908.5699999994,24.99,1750.0,19.83,314035.0,3666478.7199999983,18544.489999999998,700960.7799999095,298569.6099999499,27622.0,50751.80999998989,Stolichnaya Razberi,156052.2099999101
BROWN-FORMAN CORP          ,1128,2760,28.02,19219.0,538516.3799999909,38.99,1750.0,28.02,1006122.0,13529433.080000006,68601.68000000001,701171.4999999332,345701.1999999554,18250.0,33536.42999999827,Jack Daniels Tennessee Honey,162655.11999994225
DIAGEO NORTH AMERICA INC   ,3960,8178,18.51,28421.0,526072.7099999951,25.99,750.0,18.51,5459788.0,50959796.849999994,257032.07000000007,724379.9599999145,301943.55999995157,27204.0,21421.640000002433,Bulleit Bourbon,198307.24999991944
SIDNEY FRANK IMPORTING CO  ,3089,5445,11.76,44330.0,521320.7999999928,15.99,750.0,11.76,186464.0,1715908.8799999997,8549.550000000001,661672.6699998857,253884.33999994624,41133.0,32383.340000004264,Jagermeister Liqueur,140351.8699998929
E & J GALLO WINERY         ,3252,14006,5.44,94779.0,515597.76000000985,9.99,750.0,5.44,1858260.0,12289608.089999998,61966.909999999996,812899.3799999028,143899.93000001824,91600.0,10283.260000000004,Apothic Winemakers Red Blend,297301.61999989295
WILLIAM GRANT & SONS INC   ,3664,3238,22.83,22352.0,510296.16,29.99,750.0,22.83,302685.0,5960744.350000001,30234.42000000001,632474.5299999345,294114.63999996043,20847.0,16416.800000001735,Hendrick's Gin,122178.36999993451
JIM BEAM BRANDS COMPANY    ,12546,3980,31.99,15805.0,505601.95000000834,39.99,1750.0,31.99,2737165.0,24203151.05000001,123880.96999999999,565522.1899999427,323365.6199999569,15381.0,28264.5099999988,Hornitos Reposado Tequila,59920.23999993433
PROXIMO SPIRITS INC.       ,7245,3776,18.56,26795.0,497315.199999981,25.99,1750.0,18.56,682042.0,7588029.899999999,38994.78000000001,684036.0399999205,295186.9099999533,25596.0,47031.429999991036,Jose Cuervo Especial Silver,186720.83999993955
DIAGEO NORTH AMERICA INC   ,3960,3746,8.52,58309.0,496792.67999998684,12.99,1750.0,8.52,5459788.0,50959796.849999994,257032.07000000007,724360.5499998928,188936.73999998142,57845.0,106278.67999998627,Gordons Vodka 80 Proof,227567.869999906
PERNOD RICARD USA          ,17035,3728,18.93,25959.0,491403.86999999895,24.99,1750.0,18.93,1647558.0,24124091.56,123780.21999999997,658689.779999917,288436.2299999537,26222.0,48180.14999999067,Absolut Citron,167285.90999991808
HEAVEN HILL DISTILLERIES   ,3924,3243,8.26,57575.0,475569.4999999942,10.49,1750.0,8.26,352348.0,2816661.9399999995,14069.869999999995,648535.3299999053,182200.22999998785,57067.0,104847.71999998578,Burnetts Vodka,172965.82999991113
SIDNEY FRANK IMPORTING CO  ,3089,5440,25.92,18298.0,474284.1599999999,34.99,1750.0,25.92,186464.0,1715908.8799999997,8549.550000000001,621256.1799999306,318571.819999956,18082.0,33226.62999999806,Jagermeister Liqueur,146972.01999993064
BACARDI USA INC            ,480,4245,7.93,58816.0,466410.87999998714,11.99,750.0,7.93,1427075.0,17624378.719999995,89286.26999999999,643474.799999922,167950.56999999456,58320.0,45919.42000000414,Bacardi Superior Rum,177063.9199999349
ULTRA BEVERAGE COMPANY LLP ,9165,36378,6.83,68084.0,465013.72000000003,9.97,1500.0,6.83,1077527.0,13210613.930000002,68054.70000000003,695816.4099999225,155747.3700000347,67195.0,15097.47000000027,MezzaCorona Pnt Grigio,230802.68999992247
WILLIAM GRANT & SONS INC   ,3664,4198,17.51,25998.0,455224.9799999919,24.99,1750.0,17.51,302685.0,5960744.350000001,30234.42000000001,575754.9199999277,288223.9799999523,23008.0,42276.15999999354,Sailor Jerry Spiced Navy Rum,120529.93999993586
MAJESTIC FINE WINES        ,10000,24325,10.88,41274.0,449061.11999999353,15.99,750.0,10.88,446119.0,3506668.63,17587.59,658288.1299999481,155090.73000000406,39387.0,4415.5999999999185,La Crema Chard Sonoma Cst,209227.00999995455
PERNOD RICARD USA          ,17035,5735,9.29,48121.0,447044.0899999993,11.99,750.0,9.29,1647558.0,24124091.56,123780.21999999997,598769.4299999229,181685.18999998728,46557.0,36656.77000000388,Malibu Rum,151725.33999992354
MOET HENNESSY USA INC      ,8112,5342,19.85,22234.0,441344.90000000334,28.99,750.0,19.85,427867.0,9472995.2,48347.26,687309.7699999096,335050.7799999479,22623.0,17815.45000000222,Grand Marnier,245964.86999990622
DISARONNO INTERNATIONAL LLC,2555,5311,23.7,18409.0,436293.30000000645,31.99,1750.0,23.7,103095.0,1141947.85,5861.030000000001,667168.2399999392,306347.9399999631,18376.0,33767.49999999835,Amaretto DiSaronno,230874.93999993277
CONSTELLATION BRANDS INC   ,1392,19748,9.2,47153.0,433807.600000004,13.99,1500.0,9.2,2325892.0,15573917.899999999,79528.99,701955.5899999447,166739.15999999215,46069.0,10347.029999999992,Clos du Bois Chard,268147.9899999407
MOET HENNESSY USA INC      ,8112,3668,34.12,12713.0,433767.55999999325,42.99,1750.0,34.12,427867.0,9472995.2,48347.26,536414.8199999633,282790.9499999748,12218.0,22452.63999999985,Belvedere Polish Vodka,102647.25999997003
EDRINGTON AMERICAS         ,2561,2520,42.21,10227.0,431681.6700000005,62.99,750.0,42.21,62542.0,1882832.8399999992,9654.500000000002,572039.8699999629,344176.9799999706,9713.0,7651.829999999693,The Macallan 12 Yr Old,140358.19999996235
DIAGEO NORTH AMERICA INC   ,3960,8202,13.33,32375.0,431558.75000000186,17.99,750.0,13.33,5459788.0,50959796.849999994,257032.07000000007,606781.8399999316,219853.85999997112,31816.0,25052.700000002704,Sambuca Romana,175223.08999992977
DIAGEO NORTH AMERICA INC   ,3960,3276,9.62,44631.0,429350.21999997704,14.99,1750.0,9.62,5459788.0,50959796.849999994,257032.07000000007,643753.6599999246,185732.1899999862,44434.0,81641.20999998754,Gordons London Dry,214403.43999994756
DIAGEO NORTH AMERICA INC   ,3960,497,14.7,29200.0,429240.0000000057,19.99,1000.0,14.7,5459788.0,50959796.849999994,257032.07000000007,584467.6199999616,145247.34000000838,29238.0,30699.899999998448,Capt Morgan Spiced Rum,155227.61999995587
DIAGEO NORTH AMERICA INC   ,3960,1883,13.23,32253.0,426707.1900000127,17.99,1750.0,13.23,5459788.0,50959796.849999994,257032.07000000007,583415.6999999224,227105.75999996695,32430.0,59584.77999998827,Seagrams 7 Crown,156708.50999990973
DIAGEO NORTH AMERICA INC   ,3960,2767,139.7,2963.0,413931.1000000022,189.99,750.0,139.7,5459788.0,50959796.849999994,257032.07000000007,548648.3899999874,399868.01999998884,2761.0,2176.609999999961,Johnnie Walker Blue Label,134717.28999998525
PERNOD RICARD USA          ,17035,482,14.28,28888.0,412520.6399999918,21.99,1000.0,14.28,1647558.0,24124091.56,123780.21999999997,599601.3399999446,198436.0599999845,27866.0,29259.299999998133,Absolut 80 Proof,187080.69999995275
DIAGEO NORTH AMERICA INC   ,3960,8778,37.29,10966.0,408922.1399999975,49.99,1750.0,37.29,5459788.0,50959796.849999994,257032.07000000007,525233.039999965,304106.5699999735,10796.0,19841.33000000014,Bulleit Bourbon,116310.89999996749
BROWN-FORMAN CORP          ,1128,1220,21.89,18645.0,408139.0500000114,29.99,750.0,21.89,1006122.0,13529433.080000006,68601.68000000001,589481.9199999418,293510.1499999627,18408.0,14496.360000001354,Woodford Reserve Bourbon,181342.86999993044
DIAGEO NORTH AMERICA INC   ,3960,2418,16.53,24558.0,405943.7399999935,22.99,750.0,16.53,5459788.0,50959796.849999994,257032.07000000007,570271.159999933,263621.2299999621,24284.0,19122.700000002293,Crown Royal Regal Apple,164327.4199999395
CONSTELLATION BRANDS INC   ,1392,8504,5.84,69263.0,404495.9199999966,8.99,1500.0,5.84,2325892.0,15573917.899999999,79528.99,686725.3299999196,148661.02000001224,68667.0,15427.260000000382,R M Woodbridge Cab Svgn Cal,282229.409999923
SAZERAC NORTH AMERICA INC. ,660,3684,7.68,52351.0,402055.67999999085,9.99,1750.0,7.68,503931.0,3537977.55,17932.329999999994,527560.9599999299,156288.16000000513,51954.0,95452.86999998376,Fleischmanns Royal Vodka,125505.27999993903
E & J GALLO WINERY         ,3252,14622,8.66,46387.0,401711.42000000115,12.99,750.0,8.66,1858260.0,12289608.089999998,61966.909999999996,558344.6899999726,124562.16000001195,45608.0,5114.599999999909,La Marca Prosecco,156633.26999997144
SAZERAC CO INC             ,8004,3246,6.71,59841.0,401533.110000004,8.79,1750.0,6.71,1417727.0,9916770.259999998,50293.62000000002,520763.54999996244,136913.03999996334,59245.0,108849.57999998573,Bentley's Vodka,119230.43999995844
PERNOD RICARD USA          ,17035,8339,30.21,13250.0,400282.49999999977,42.99,750.0,30.21,1647558.0,24124091.56,123780.21999999997,544906.369999951,335249.3799999632,12463.0,9818.559999999978,The Glenlivet 12 Yr Single,144623.86999995122
DISARONNO INTERNATIONAL LLC,2555,5312,14.7,27186.0,399634.20000000164,21.99,750.0,14.7,103095.0,1141947.85,5861.030000000001,571763.2199999448,228705.9499999702,26178.0,20614.870000001833,Amaretto DiSaronno,172129.01999994315
DIAGEO NORTH AMERICA INC   ,3960,1869,40.14,9892.0,397064.8799999979,54.99,750.0,40.14,5459788.0,50959796.849999994,257032.07000000007,549291.8099999668,302801.32999997836,9219.0,7262.519999999729,Oban 14-Yr Single Malt,152226.92999996885
MOET HENNESSY USA INC      ,8112,8622,87.09,4544.0,395736.9599999989,145.99,750.0,87.09,427867.0,9472995.2,48347.26,589317.7299999871,312139.2099999901,4127.0,459.1500000000152,Dom Perignon,193580.76999998814
DIAGEO NORTH AMERICA INC   ,3960,1868,49.62,7821.0,388078.02000000176,66.99,750.0,49.62,5459788.0,50959796.849999994,257032.07000000007,550740.5599999714,334191.7299999781,7644.0,6022.609999999818,Lagavulin Single Malt 16-Yr,162662.53999996965
BACARDI USA INC            ,480,508,9.77,38957.0,380609.8899999946,12.99,1000.0,9.77,1427075.0,17624378.719999995,89286.26999999999,522309.14999996027,123060.880000018,38335.0,40251.749999999665,Bacardi Superior Rum,141699.25999996567
HEAVEN HILL DISTILLERIES   ,3924,1180,13.07,29070.0,379944.90000000445,16.99,1750.0,13.07,352348.0,2816661.9399999995,14069.869999999995,543425.0899999345,233334.64999996682,28291.0,51982.13999999105,Evan Williams Black Label B,163480.1899999301
MOET HENNESSY USA INC      ,8112,4673,46.66,8132.0,379439.1200000025,69.99,1750.0,46.66,427867.0,9472995.2,48347.26,549271.8199999831,225142.97999999177,8118.0,14917.300000000378,Hennessy VS Cognac,169832.69999998057
